Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
2.348	13.261	29.075	-0.070	0.004
2.352	13.267	29.123	-0.078	0.012
2.357	13.297	29.172	-0.078	0.012
2.361	13.322	29.221	-0.078	-0.012
2.366	13.346	29.275	-0.078	0.012
2.371	13.364	29.324	-0.061	0.012
2.375	13.389	29.379	-0.070	0.004
2.380	13.407	29.422	-0.053	0.004
2.384	13.431	29.476	-0.070	0.004
2.389	13.450	29.525	-0.070	0.004
2.393	13.474	29.574	-0.061	0.004
2.398	13.498	29.629	-0.061	0.020
2.402	13.510	29.677	-0.053	-0.004
2.407	13.535	29.726	-0.061	-0.004
2.411	13.559	29.769	-0.053	0.012
2.416	13.577	29.823	-0.061	0.012
2.421	13.596	29.866	-0.053	0.004
2.425	13.614	29.915	-0.053	-0.004
2.430	13.638	29.957	-0.045	0.012
2.434	13.663	30.006	-0.053	-0.004
2.439	13.681	30.049	-0.053	0.004
2.443	13.699	30.097	-0.053	0.004
2.448	13.724	30.146	-0.053	0.020
2.452	13.742	30.195	-0.053	0.004
2.457	13.760	30.231	-0.037	0.004
2.462	13.784	30.286	-0.053	-0.004
2.466	13.803	30.323	-0.053	0.004
2.471	13.821	30.365	-0.053	-0.004
2.475	13.845	30.420	-0.053	0.004
2.480	13.870	30.469	-0.045	0.004
2.484	13.882	30.511	-0.053	-0.004
2.489	13.906	30.560	-0.037	0.004
2.493	13.937	30.615	-0.037	0.012
2.498	13.955	30.657	-0.053	0.012
2.502	13.979	30.712	-0.037	0.004
2.507	13.991	30.755	-0.045	0.004
2.512	14.010	30.791	-0.037	0.004
2.516	14.040	30.846	-0.037	0.004
2.521	14.064	30.901	-0.029	-0.004
2.525	14.077	30.950	-0.037	0.004
2.530	14.101	30.986	-0.045	0.004
2.534	14.119	31.029	-0.045	0.004
2.539	14.144	31.090	-0.037	0.004
2.543	14.156	31.120	-0.037	0.004
2.548	14.168	31.169	-0.029	0.012
2.553	14.198	31.212	-0.037	0.004
2.557	14.223	31.260	-0.037	0.012
2.562	14.241	31.303	-0.037	0.012
2.566	14.265	31.358	-0.029	-0.004
2.571	14.271	31.388	-0.037	-0.004
2.575	14.302	31.437	-0.045	0.004
2.580	14.320	31.479	-0.029	0.012
2.584	14.351	31.522	-0.029	0.004
2.589	14.363	31.571	-0.029	0.004
2.593	14.381	31.613	-0.037	0.004
2.598	14.399	31.662	-0.037	0.004
2.603	14.430	31.717	-0.020	0.004
2.607	14.448	31.759	-0.020	0.012
2.612	14.472	31.808	-0.037	0.012
2.616	14.485	31.845	-0.020	0.004
2.621	14.497	31.899	-0.029	0.012
2.625	14.527	31.942	-0.029	0.012
2.630	14.539	31.991	-0.020	0.004
2.634	14.570	32.033	-0.020	0.004
2.639	14.588	32.076	-0.004	0.012
2.644	14.612	32.119	-0.020	0.004
2.648	14.631	32.173	-0.012	0.012
2.653	14.655	32.216	-0.029	0.004
2.657	14.667	32.259	-0.020	0.004
2.662	14.692	32.313	-0.029	0.004
2.666	14.710	32.356	-0.020	0.004
2.671	14.740	32.405	-0.020	0.004
2.675	14.752	32.460	-0.020	0.004
2.680	14.777	32.502	-0.020	-0.004
2.684	14.801	32.545	-0.012	0.004
2.689	14.825	32.606	-0.020	0.004
2.694	14.850	32.654	-0.020	0.012
2.698	14.868	32.697	-0.012	0.004
2.703	14.880	32.746	-0.004	-0.004
2.707	14.905	32.788	-0.020	0.012
2.712	14.923	32.837	-0.004	0.004
2.716	14.953	32.886	-0.004	0.012
2.721	14.978	32.922	-0.004	0.004
2.725	14.984	32.977	-0.020	0.004
2.730	15.008	33.020	-0.020	0.004
2.735	15.039	33.062	-0.004	0.004
2.739	15.057	33.105	-0.012	-0.004
2.744	15.075	33.148	-0.012	0.004
2.748	15.087	33.202	-0.012	0.004
2.753	15.112	33.239	-0.004	0.004
2.757	15.142	33.306	-0.004	0.012
2.762	15.154	33.361	-0.004	0.012
2.766	15.179	33.391	-0.004	-0.012
2.771	15.203	33.452	-0.004	0.004
2.775	15.233	33.501	0.004	0.012
2.780	15.252	33.562	0.004	0.012
2.785	15.270	33.598	0.004	0.012
2.789	15.300	33.653	0.004	0.004
2.794	15.319	33.696	-0.004	0.012
2.798	15.349	33.744	0.004	-0.004
2.803	15.361	33.793	-0.004	0.004
2.807	15.380	33.842	0.004	0.004
2.812	15.404	33.890	-0.012	0.004
2.816	15.422	33.939	-0.004	0.012
2.821	15.440	33.957	-0.004	0.004
2.826	15.465	34.012	0.004	0.012
2.830	15.471	34.043	0.004	0.004
2.835	15.501	34.103	0.012	0.004
2.839	15.520	34.152	0.004	0.004
2.844	15.544	34.189	-0.012	0.012
2.848	15.562	34.225	0.004	0.012
2.853	15.587	34.274	0.012	-0.004
2.857	15.611	34.329	0.004	0.012
2.862	15.629	34.371	0.004	0.004
2.866	15.654	34.420	0.004	0.004
2.871	15.666	34.469	0.004	0.004
2.876	15.696	34.511	0.004	0.004
2.880	15.714	34.560	-0.004	0.004
2.885	15.733	34.615	0.012	0.004
2.889	15.745	34.657	0.004	0.004
2.894	15.769	34.694	0.012	0.012
2.898	15.794	34.743	0.004	0.004
2.903	15.818	34.791	0.004	0.012
2.907	15.830	34.840	0.004	0.028
2.912	15.861	34.883	-0.004	0.004
2.917	15.885	34.925	0.012	0.004
2.921	15.897	34.980	0.012	0.004
2.926	15.927	35.029	-0.004	-0.004
2.930	15.952	35.078	0.012	-0.004
2.935	15.970	35.114	0.004	0.004
2.939	15.982	35.175	0.012	0.004
2.944	16.013	35.218	0.004	0.004
2.948	16.037	35.260	0.012	0.012
2.953	16.055	35.303	0.020	0.012
2.957	16.080	35.352	0.004	0.028
2.962	16.092	35.400	0.012	0.012
2.967	16.116	35.449	0.020	0.004
2.971	16.141	35.498	0.012	0.004
2.976	16.153	35.534	0.012	-0.004
