Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
17.389	-0.001	0.000	-0.016	-0.000
17.451	0.005	0.006	-0.041	0.025
17.514	-0.001	0.006	-0.016	0.016
17.577	0.005	0.000	-0.025	0.008
17.639	-0.007	-0.012	-0.033	0.016
17.702	-0.007	-0.012	-0.033	0.008
17.764	-0.001	0.000	-0.033	-0.000
17.827	-0.001	0.000	-0.041	0.008
17.889	-0.001	0.000	-0.033	-0.000
17.952	-0.001	-0.006	-0.025	0.016
18.014	-0.001	0.000	-0.016	0.008
18.077	-0.001	-0.006	-0.025	0.008
18.139	0.005	0.000	-0.016	0.016
18.202	-0.007	0.000	-0.033	-0.000
18.265	-0.001	-0.006	-0.025	0.016
18.327	-0.001	0.000	-0.033	0.016
18.390	-0.001	0.000	-0.025	0.008
18.452	0.005	-0.006	-0.033	0.008
18.515	-0.001	0.000	-0.025	0.008
18.577	-0.001	0.000	-0.033	0.008
18.640	-0.001	0.000	-0.016	0.016
18.702	-0.001	0.006	-0.033	0.008
18.765	-0.007	0.000	-0.025	0.008
18.828	0.005	0.000	-0.025	0.016
18.890	0.005	-0.006	-0.025	-0.000
18.953	-0.001	-0.006	-0.033	0.016
19.015	-0.007	0.000	-0.016	0.008
19.078	-0.001	0.000	-0.025	0.016
19.140	-0.007	-0.006	-0.033	-0.000
19.203	-0.001	0.006	-0.033	0.016
19.265	-0.001	0.000	-0.025	0.008
19.328	0.005	0.000	-0.025	0.008
19.390	-0.007	0.000	-0.025	0.008
19.453	-0.007	0.000	-0.033	0.016
19.516	0.005	0.000	-0.033	0.008
19.578	0.005	0.000	-0.033	0.016
19.641	0.005	-0.006	-0.025	0.016
19.703	0.005	0.000	-0.025	0.008
19.766	0.005	-0.006	-0.025	0.016
19.828	-0.001	0.000	-0.033	0.008
19.891	-0.001	0.000	-0.016	0.025
19.953	0.005	-0.012	-0.033	-0.008
20.016	-0.001	-0.006	-0.025	0.008
20.079	-0.001	0.000	-0.016	0.008
20.141	-0.007	-0.006	-0.025	0.025
20.204	-0.001	-0.006	-0.025	0.008
20.266	-0.001	0.000	-0.033	0.008
20.329	-0.001	0.006	-0.025	0.016
20.391	-0.007	-0.006	-0.025	0.016
20.454	0.005	0.000	-0.033	0.008
20.516	-0.007	0.000	-0.033	0.008
20.579	-0.001	0.000	-0.025	0.016
20.641	-0.007	0.000	-0.033	0.008
20.704	0.005	0.000	-0.025	0.008
20.767	-0.001	-0.006	-0.025	0.016
20.829	0.005	0.000	-0.025	-0.000
20.892	-0.001	-0.006	-0.016	0.008
20.954	0.005	0.000	-0.033	0.008
21.017	-0.007	0.006	-0.033	0.016
21.079	-0.001	-0.006	-0.033	0.008
21.142	0.005	-0.006	-0.025	-0.000
21.204	0.005	0.006	-0.025	0.008
21.267	0.005	0.006	-0.033	-0.000
21.330	-0.001	-0.006	-0.041	0.008
21.392	-0.001	0.000	-0.025	0.016
21.455	-0.007	-0.006	-0.033	0.008
21.517	-0.001	0.000	-0.033	0.016
21.580	-0.001	0.000	-0.033	0.016
21.642	-0.001	0.000	-0.016	0.008
21.705	0.005	0.000	-0.016	-0.000
21.767	-0.007	0.000	-0.016	0.016
21.830	-0.007	0.000	-0.016	0.025
21.892	-0.007	-0.006	-0.033	0.008
21.955	-0.007	0.000	-0.025	0.008
22.018	-0.001	-0.012	-0.025	0.016
22.080	-0.001	0.000	-0.033	0.008
22.143	0.005	0.000	-0.041	0.008
22.205	-0.007	0.000	-0.025	0.008
22.268	-0.001	0.000	-0.025	0.008
22.330	-0.001	-0.006	-0.025	0.016
22.393	-0.007	0.000	-0.025	0.008
22.455	-0.013	-0.006	-0.041	0.008
22.518	-0.001	0.000	-0.025	0.008
22.581	-0.001	0.000	-0.033	0.008
22.643	-0.001	-0.006	-0.033	0.016
22.706	-0.001	0.006	-0.033	0.016
22.768	-0.001	0.000	-0.033	0.008
22.831	0.005	-0.006	-0.033	0.008
22.893	-0.007	0.000	-0.033	-0.000
22.956	-0.001	-0.006	-0.033	0.016
23.018	0.005	0.000	-0.025	0.016
23.081	-0.007	-0.006	-0.033	0.016
23.143	-0.001	0.000	-0.033	0.016
23.206	0.005	-0.006	-0.033	0.025
23.269	-0.001	0.000	-0.025	0.008
23.331	0.005	-0.006	-0.025	0.008
23.394	-0.001	0.000	-0.033	0.016
23.456	-0.001	0.000	-0.016	0.016
23.519	-0.001	0.006	-0.033	0.016
23.581	-0.001	0.006	-0.025	0.008
23.644	-0.001	0.000	-0.025	0.025
23.706	-0.007	-0.006	-0.025	0.016
23.769	-0.007	0.000	-0.033	0.008
23.832	-0.001	0.000	-0.033	0.008
23.894	-0.007	0.006	-0.033	0.008
23.957	-0.007	-0.012	-0.025	0.016
24.019	0.005	0.006	-0.016	0.016
24.082	-0.001	0.006	-0.025	0.016
24.144	-0.007	0.000	-0.033	0.008
24.207	-0.007	-0.012	-0.041	0.016
24.269	-0.007	0.006	-0.025	0.008
24.332	-0.001	-0.006	-0.025	0.016
24.394	-0.001	-0.006	-0.025	0.016
24.457	-0.001	-0.006	-0.033	0.016
24.520	-0.001	-0.006	-0.025	0.025
24.582	-0.001	0.000	-0.033	-0.000
24.645	0.005	-0.006	-0.016	0.016
24.707	-0.001	-0.012	-0.016	0.008
24.770	-0.001	-0.006	-0.025	0.016
24.832	-0.001	0.006	-0.041	0.008
24.895	-0.001	0.000	-0.025	0.016
24.957	0.005	0.000	-0.033	0.033
25.020	-0.001	0.000	-0.025	0.008
25.083	-0.001	-0.006	-0.025	0.016
25.145	-0.001	0.006	-0.041	0.016
25.208	-0.007	0.006	-0.033	0.016
25.270	-0.001	0.000	-0.025	0.008
25.333	-0.007	0.000	-0.025	0.008
25.395	-0.001	-0.006	-0.025	0.016
25.458	0.005	0.006	-0.033	0.008
25.520	-0.007	0.000	-0.033	0.008
25.583	0.005	0.000	-0.033	0.016
25.645	-0.007	0.006	-0.025	0.016
25.708	-0.001	0.006	-0.025	0.016
25.771	-0.007	-0.006	-0.033	0.008
25.833	-0.001	0.006	-0.025	0.016
25.896	0.005	0.000	-0.025	0.016
25.958	-0.001	0.000	-0.033	0.008
26.021	0.005	-0.006	-0.025	0.016
26.083	-0.013	-0.012	-0.041	0.025
26.146	0.005	-0.006	-0.033	0.016
26.208	-0.007	0.000	-0.033	0.008
26.271	-0.001	-0.006	-0.025	0.016
26.334	-0.001	-0.006	-0.041	0.016
26.396	-0.007	0.000	-0.033	0.016
26.459	0.005	0.000	-0.016	0.016
26.521	0.005	-0.006	-0.025	-0.000
26.584	-0.001	0.006	-0.041	0.008
26.646	0.005	0.006	-0.033	0.016
26.709	-0.001	0.006	-0.025	0.016
26.771	0.005	-0.006	-0.041	0.016
26.834	0.005	0.000	-0.033	-0.000
26.896	-0.007	0.012	-0.025	0.008
26.959	-0.001	0.006	-0.033	0.008
27.022	-0.007	0.000	-0.025	0.016
27.084	-0.001	0.000	-0.025	0.016
27.147	-0.001	0.000	-0.033	0.016
27.209	-0.007	0.000	-0.033	0.008
27.272	0.005	-0.006	-0.041	-0.000
27.334	-0.001	0.006	-0.033	0.008
27.397	0.005	0.006	-0.025	0.008
27.459	0.005	0.000	-0.025	0.016
27.522	-0.007	0.000	-0.016	0.008
27.585	0.005	0.000	-0.033	0.016
27.647	0.005	0.000	-0.025	0.008
27.710	-0.007	-0.006	-0.025	0.016
27.772	-0.001	0.000	-0.025	0.008
27.835	0.005	0.000	-0.041	0.008
27.897	-0.001	-0.006	-0.033	0.008
27.960	0.005	0.000	-0.016	0.016
28.022	-0.001	0.006	-0.025	-0.000
28.085	0.005	-0.006	-0.033	0.025
28.147	-0.001	-0.018	-0.016	0.008
28.210	-0.007	0.000	-0.025	0.008
28.273	-0.001	0.000	-0.016	0.008
28.335	0.005	0.000	-0.033	0.025
28.398	-0.001	0.000	-0.025	0.016
28.460	-0.001	-0.006	-0.033	-0.000
28.523	-0.001	-0.006	-0.025	0.008
28.585	0.005	0.000	-0.033	0.008
28.648	-0.001	0.000	-0.033	0.016
28.710	-0.001	0.000	-0.033	-0.000
28.773	-0.001	-0.006	-0.025	0.008
28.836	-0.007	0.000	-0.016	0.016
28.898	0.005	0.006	-0.025	0.016
28.961	-0.001	0.012	-0.016	0.008
29.023	-0.001	0.000	-0.025	0.008
29.086	-0.007	-0.006	-0.016	0.008
29.148	0.012	0.006	-0.025	0.016
29.211	-0.001	-0.012	-0.033	0.008
29.273	-0.001	0.006	-0.033	0.025
29.336	-0.001	0.000	-0.025	0.016
29.398	-0.007	0.000	-0.041	0.016
29.461	-0.001	0.000	-0.033	0.016
29.524	-0.001	0.006	-0.025	0.016
29.586	-0.001	0.000	-0.033	0.016
29.649	-0.007	0.000	-0.025	0.008
29.711	-0.001	-0.006	-0.033	0.016
29.774	-0.007	0.000	-0.025	0.008
29.836	-0.007	0.006	-0.033	0.008
29.899	0.005	0.000	-0.025	0.008
29.961	0.005	0.000	-0.033	0.008
30.024	0.005	0.000	-0.025	-0.000
30.087	-0.001	0.012	-0.025	0.016
30.149	-0.007	-0.006	-0.025	0.016
30.212	-0.001	0.000	-0.033	0.008
30.274	-0.001	0.000	-0.041	0.008
30.337	-0.001	0.000	-0.025	0.008
30.399	-0.001	0.000	-0.033	-0.000
30.462	-0.001	-0.006	-0.016	0.008
30.524	-0.007	-0.006	-0.025	0.008
30.587	-0.001	0.000	-0.033	0.016
30.649	0.005	0.000	-0.033	0.008
30.712	-0.001	-0.006	-0.033	0.008
30.775	-0.001	0.000	-0.025	0.008
30.837	-0.007	-0.006	-0.025	0.008
30.900	-0.001	-0.012	-0.033	0.016
30.962	-0.001	0.006	-0.025	0.025
31.025	-0.007	0.000	-0.033	0.008
31.087	-0.001	-0.006	-0.033	0.016
31.150	0.005	0.006	-0.033	0.008
31.212	-0.007	0.000	-0.025	0.008
31.275	-0.001	0.006	-0.033	-0.000
31.338	-0.007	0.000	-0.025	-0.000
31.400	-0.007	0.000	-0.033	-0.000
31.463	-0.001	-0.006	-0.025	0.016
31.525	-0.007	-0.012	-0.025	-0.000
31.588	-0.007	0.000	-0.033	0.016
31.650	-0.007	0.000	-0.025	0.025
31.713	-0.001	-0.012	-0.016	0.016
31.775	-0.013	-0.012	-0.033	0.008
31.838	-0.007	0.000	-0.033	0.008
31.900	-0.001	-0.006	-0.025	0.016
31.963	0.005	0.006	-0.025	0.008
32.026	-0.007	-0.006	-0.025	0.016
32.088	0.012	0.000	-0.033	0.008
32.151	-0.007	-0.006	-0.033	-0.000
32.213	-0.001	0.006	-0.025	-0.000
32.276	-0.001	0.000	-0.016	0.008
32.338	0.005	-0.006	-0.033	0.008
32.401	0.005	-0.006	-0.016	0.016
32.463	-0.001	-0.006	-0.033	0.008
32.526	-0.007	0.000	-0.025	0.016
32.589	0.005	0.000	-0.033	-0.000
32.651	-0.007	0.006	-0.025	0.025
32.714	-0.001	-0.006	-0.033	-0.000
32.776	-0.001	0.000	-0.033	-0.000
32.839	-0.001	0.000	-0.033	-0.000
32.901	-0.001	0.006	-0.033	0.016
32.964	-0.007	-0.006	-0.033	0.016
33.026	-0.007	-0.006	-0.033	-0.000
33.089	-0.001	-0.006	-0.016	0.025
33.151	-0.001	-0.006	-0.033	-0.000
33.214	-0.001	-0.006	-0.033	0.008
33.277	-0.007	0.000	-0.033	0.008
33.339	-0.001	0.000	-0.025	0.016
33.402	-0.001	0.000	-0.025	0.008
33.464	-0.007	-0.006	-0.033	0.008
33.527	0.005	0.006	-0.033	0.008
33.589	-0.007	-0.006	-0.025	0.016
33.652	0.005	-0.006	-0.016	0.008
33.714	0.005	0.000	-0.033	0.008
33.777	-0.001	0.006	-0.041	0.016
33.840	-0.001	-0.006	-0.025	0.025
33.902	-0.001	0.000	-0.025	0.008
33.965	0.005	-0.006	-0.033	0.016
34.027	-0.001	0.000	-0.016	0.016
34.090	0.005	-0.006	-0.033	0.016
34.152	0.005	-0.006	-0.033	0.016
34.215	-0.007	0.000	-0.033	0.016
34.277	0.012	0.000	-0.025	0.016
34.340	0.005	0.006	-0.033	0.016
34.402	-0.001	-0.006	-0.025	0.016
34.465	-0.001	0.000	-0.025	0.016
34.528	-0.007	0.000	-0.041	0.016
34.590	-0.001	0.000	-0.033	0.008
34.653	0.005	-0.006	-0.025	0.016
34.715	-0.001	0.000	-0.025	0.008
34.778	-0.001	0.006	-0.025	0.008
34.840	-0.001	0.000	-0.025	-0.000
34.903	-0.007	0.006	-0.025	0.016
34.965	-0.001	0.000	-0.025	0.016
35.028	-0.007	0.000	-0.016	0.025
35.091	-0.001	0.006	-0.016	0.016
35.153	0.005	-0.006	-0.025	0.016
35.216	0.005	0.000	-0.025	0.016
35.278	-0.007	0.000	-0.025	0.008
35.341	-0.007	0.000	-0.016	-0.000
35.403	-0.001	-0.006	-0.025	0.016
35.466	-0.013	0.000	-0.025	-0.000
35.528	-0.001	-0.006	-0.016	0.008
35.591	-0.007	0.000	-0.033	-0.000
35.653	-0.007	-0.006	-0.025	0.016
35.716	-0.007	0.000	-0.033	0.016
35.779	0.005	-0.006	-0.025	-0.000
35.841	0.005	0.000	-0.025	-0.000
35.904	-0.001	-0.006	-0.033	0.008
35.966	-0.001	0.000	-0.033	0.016
36.029	-0.001	0.000	-0.016	0.016
36.091	-0.001	0.006	-0.033	0.025
36.154	-0.001	0.000	-0.016	0.008
36.216	-0.001	0.000	-0.033	-0.000
36.279	0.005	0.000	-0.025	0.008
36.342	-0.001	0.000	-0.033	0.016
36.404	-0.001	-0.012	-0.025	0.025
36.467	-0.001	0.000	-0.041	0.016
36.529	-0.001	0.000	-0.016	0.008
36.592	-0.001	0.000	-0.016	0.016
36.654	0.005	0.000	-0.033	0.008
36.717	0.005	-0.006	-0.025	0.016
36.779	-0.001	-0.006	-0.041	0.008
36.842	0.005	0.000	-0.033	0.016
36.904	-0.007	-0.006	-0.025	0.008
36.967	0.005	0.006	-0.025	0.016
37.030	-0.007	-0.006	-0.025	0.016
37.092	0.005	-0.006	-0.025	0.016
37.155	-0.001	-0.006	-0.025	-0.000
37.217	-0.001	-0.006	-0.033	0.008
37.280	-0.001	0.000	-0.025	-0.000
37.342	-0.001	0.012	-0.033	0.016
37.405	-0.007	-0.006	-0.025	0.016
37.467	-0.007	0.000	-0.016	-0.000
37.530	-0.001	-0.006	-0.025	0.016
37.593	0.005	0.000	-0.025	0.008
37.655	-0.001	-0.006	-0.025	0.016
37.718	-0.007	0.006	-0.033	0.016
37.780	-0.001	0.006	-0.041	0.008
37.843	-0.001	0.000	-0.033	-0.000
37.905	-0.001	-0.012	-0.016	0.016
37.968	-0.007	0.006	-0.025	0.008
38.030	-0.001	-0.006	-0.016	0.016
38.093	-0.007	-0.006	-0.033	0.008
38.155	0.005	0.006	-0.025	0.008
38.218	-0.001	-0.006	-0.033	0.016
38.281	0.005	0.000	-0.033	0.025
38.343	0.005	0.000	-0.033	-0.000
38.406	-0.001	0.000	-0.025	0.008
38.468	0.005	0.000	-0.025	0.008
38.531	-0.007	-0.006	-0.033	0.016
38.593	-0.007	0.006	-0.033	0.008
38.656	-0.001	-0.006	-0.033	0.008
38.718	-0.001	-0.006	-0.033	0.016
38.781	-0.001	0.006	-0.033	0.016
38.844	-0.001	0.000	-0.025	0.016
